,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-282.82880568115286,-282.82880568115286,52360,"[0.01256561279296875, 0.0, 0.7109375, 2.10546875, 4.19921875, 6.98046875, 10.46875, 14.6484375, 19.5625, 25.125]",19.163575893023715,1.9163575893023714,2.824765509693661
1,,,,16114,"[-7.748603820800781e-07, 0.01256561279296875, 0.7109375, 2.10546875, 4.1875, 6.96875, 10.484375, 14.6640625, 19.5625, 25.125]",19.177140866879995,1.9177140866879996,2.8278385839794895
2,,,,6118,"[-0.01256561279296875, -7.748603820800781e-07, 0.7236328125, 2.1171875, 4.1875, 6.95703125, 10.484375, 14.6640625, 19.578125, 25.125]",19.355827814854077,1.9355827814854076,2.868117500665022
3,,,,41261,"[7.748603820800781e-07, -0.01256561279296875, 0.7109375, 2.12890625, 4.1875, 6.96875, 10.484375, 14.6484375, 19.578125, 25.140625]",19.337408145136592,1.933740814513659,2.8639826376469295
4,,,,58794,"[0.01256561279296875, 7.748603820800781e-07, 0.7236328125, 2.140625, 4.1875, 6.98046875, 10.5, 14.6484375, 19.59375, 25.125]",19.365876048929525,1.9365876048929525,2.870371478292218
5,,,,8136,"[-7.748603820800781e-07, 7.748603820800781e-07, 0.7109375, 2.15234375, 4.17578125, 6.98046875, 10.5, 14.6484375, 19.578125, 25.109375]",19.32355146777965,1.9323551467779654,2.8608694822407665
6,,,,44669,"[0.01256561279296875, -0.01256561279296875, 0.7236328125, 2.15234375, 4.1640625, 6.9921875, 10.5, 14.6484375, 19.5625, 25.125]",19.251741881377406,1.9251741881377404,2.8447003022093713
7,,,,13944,"[-7.748603820800781e-07, 7.748603820800781e-07, 0.7109375, 2.15234375, 4.15234375, 6.9921875, 10.484375, 14.6484375, 19.5625, 25.109375]",19.226259900380256,1.9226259900380258,2.8389480880400173
8,,,,47338,"[0.01256561279296875, 7.748603820800781e-07, 0.6982421875, 2.15234375, 4.1640625, 7.00390625, 10.484375, 14.6328125, 19.578125, 25.109375]",19.144005661909716,1.9144005661909715,2.8203281404958185
9,,,,44139,"[0.0251312255859375, -0.01256561279296875, 0.7109375, 2.140625, 4.1640625, 7.00390625, 10.5, 14.6484375, 19.578125, 25.09375]",19.360602808241964,1.9360602808241967,2.869188752976573
10,,,,7402,"[0.01256561279296875, -0.01256561279296875, 0.6982421875, 2.140625, 4.15234375, 7.00390625, 10.5, 14.6328125, 19.578125, 25.09375]",19.221281976131884,1.9221281976131883,2.83782349856617
11,,,,57615,"[0.0251312255859375, 7.748603820800781e-07, 0.7109375, 2.140625, 4.140625, 6.9921875, 10.484375, 14.6484375, 19.59375, 25.078125]",19.481608136093993,1.9481608136093993,2.8962480345664154
12,,,,50264,"[0.037689208984375, 7.748603820800781e-07, 0.7109375, 2.15234375, 4.15234375, 7.00390625, 10.484375, 14.6484375, 19.609375, 25.09375]",19.515490922095786,1.9515490922095788,2.903794806531674
13,,,,16528,"[0.025115966796875, 0.01256561279296875, 0.7109375, 2.15234375, 4.1640625, 6.9921875, 10.46875, 14.6328125, 19.609375, 25.09375]",19.379200109137635,1.9379200109137635,2.873358472577339
14,,,,33525,"[0.025115966796875, 0.0251312255859375, 0.6982421875, 2.140625, 4.17578125, 7.00390625, 10.484375, 14.6484375, 19.59375, 25.078125]",19.268825108844972,1.9268825108844974,2.848552349304389
15,,,,15141,"[0.01255035400390625, 0.037689208984375, 0.685546875, 2.15234375, 4.1875, 6.9921875, 10.5, 14.6640625, 19.59375, 25.0625]",19.402565563341206,1.9402565563341203,2.8785915963815927
16,,,,54069,"[0.025115966796875, 0.050262451171875, 0.6728515625, 2.1640625, 4.17578125, 6.9921875, 10.5, 14.6640625, 19.609375, 25.046875]",19.576948951507834,1.9576948951507833,2.9174500836737662
