,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-56.7332743262109,-56.7332743262109,581,"[0.1256103515625, 0.01256561279296875, 2.08203125, 6.26953125]",7.5558484701474065,1.8889621175368516,2.7622324838786
1,,,,334,"[0.1256103515625, 0.0251312255859375, 2.0703125, 6.39453125]",7.870494498415667,1.9676236246039167,2.9394202834832415
2,,,,278,"[0.1256103515625, 0.01256561279296875, 1.9443359375, 6.40625]",8.600522438739482,2.1501306096848705,3.3246484193540353
3,,,,521,"[0.251220703125, -0.11309814453125, 2.0703125, 6.39453125]",8.699332967647349,2.1748332419118372,3.3742596248883565
4,,,,78,"[0.1256103515625, -0.10052490234375, 1.9443359375, 6.40625]",8.343529438868437,2.0858823597171092,3.19289811297419
5,,,,169,"[0.113037109375, -0.11309814453125, 1.95703125, 6.53125]",8.608932148440477,2.1522330371101193,3.3288929359826906
6,,,,533,"[0.2386474609375, -0.1256103515625, 1.9443359375, 6.54296875]",8.68696237793709,2.1717405944842727,3.3680794931824627
7,,,,283,"[0.2386474609375, -0.13818359375, 1.931640625, 6.5546875]",8.755465402944672,2.188866350736168,3.402192449348687
8,,,,60,"[0.11297607421875, -0.13818359375, 1.931640625, 6.4296875]",8.388327317406702,2.0970818293516755,3.2161537721905105
9,,,,368,"[0.11297607421875, -0.01251983642578125, 1.9443359375, 6.44140625]",8.651227568409078,2.1628068921022696,3.350177448490352
10,,,,401,"[0.12548828125, -0.02508544921875, 1.818359375, 6.4296875]",9.327824860268048,2.331956215067012,3.677203918274119
11,,,,491,"[0.1380615234375, 0.1005859375, 1.8310546875, 6.41796875]",9.483162776939395,2.3707906942348487,3.748932138890715
12,,,,204,"[0.12548828125, 0.1131591796875, 1.705078125, 6.54296875]",10.651271518999145,2.6628178797497863,4.253414644019856
13,,,,340,"[0.12548828125, 0.125732421875, 1.7177734375, 6.41796875]",10.186542415672626,2.5466356039181566,4.059668065539809
14,,,,210,"[0.1129150390625, 0.1383056640625, 1.7177734375, 6.29296875]",9.7706884895894,2.44267212239735,3.8786517594194017
15,,,,262,"[0.1129150390625, 0.01264190673828125, 1.7177734375, 6.29296875]",9.55404603977305,2.3885115099432626,3.7812733843612034
16,,,,470,"[0.12548828125, 0.02520751953125, 1.84375, 6.16796875]",8.440331465844718,2.1100828664611795,3.24299511098713
17,,,,512,"[0.251220703125, -0.1004638671875, 1.84375, 6.16796875]",8.239353094755062,2.0598382736887655,3.1383312347509214
18,,,,9,"[0.1256103515625, -0.22607421875, 1.8310546875, 6.29296875]",8.342468009935558,2.0856170024838896,3.192345586545348
19,,,,616,"[0.251220703125, -0.10040283203125, 1.84375, 6.28125]",8.576943025477544,2.144235756369386,3.3127253384787063
20,1.0,-64.73586617117515,-60.734570248693025,511,"[0.1256103515625, -0.1256103515625, 2.09375, 6.26953125]",8.354232919591764,2.088558229897941,3.1984658808609145
21,,,,562,"[0.251220703125, -0.1256103515625, 2.09375, 6.26953125]",8.759853788738077,2.1899634471845193,3.4043686606452783
22,,,,564,"[0.376953125, -0.1256103515625, 2.09375, 6.39453125]",9.217208975720444,2.304302243930111,3.6253944274688137
