,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-57.40573937203281,-57.40573937203281,262,"[0.0, -0.1256103515625, 2.09375, 6.28125]",7.958331403590283,1.9895828508975708,2.9876202890007204
1,,,,328,"[0.0, -0.113037109375, 1.9677734375, 6.29296875]",7.790182900568637,1.9475457251421593,2.894876629781341
2,,,,59,"[-0.1256103515625, -0.113037109375, 1.955078125, 6.41796875]",8.178542745027446,2.0446356862568615,3.1061593652757495
3,,,,445,"[-0.113037109375, -0.113037109375, 2.080078125, 6.29296875]",7.516799789183484,1.879199947295871,2.7397299158930637
4,,,,538,"[0.01262664794921875, -0.1256103515625, 2.080078125, 6.3046875]",7.993017382738756,1.998254345684689,3.006507661207478
5,,,,234,"[6.026029586791992e-05, 5.334615707397461e-05, 2.068359375, 6.4296875]",7.866355885443132,1.966588971360783,2.9371359930765846
6,,,,283,"[6.026029586791992e-05, -0.01251220703125, 2.056640625, 6.44140625]",7.945927054058564,1.986481763514641,2.980845824589303
7,,,,621,"[0.125732421875, 0.1131591796875, 2.181640625, 6.4296875]",7.521136511147405,1.8802841277868512,2.742234800117969
8,,,,307,"[0.125732421875, 0.1131591796875, 2.169921875, 6.4296875]",7.585536166672815,1.8963840416682038,2.7792629201466825
9,,,,480,"[0.1383056640625, 0.23876953125, 2.158203125, 6.3046875]",7.437247217030787,1.8593118042576968,2.6935222651932467
10,,,,539,"[0.263916015625, 0.2261962890625, 2.158203125, 6.4296875]",7.9419491027700655,1.9854872756925164,2.97867108164327
11,,,,17,"[0.1383056640625, 0.10052490234375, 2.169921875, 6.4296875]",7.572815425007475,1.8932038562518687,2.771973804078314
12,,,,487,"[0.15087890625, 0.2261962890625, 2.169921875, 6.4296875]",7.7778567040338045,1.9444641760084511,2.8879994629799794
13,,,,164,"[0.1383056640625, 0.213623046875, 2.169921875, 6.5546875]",8.15725638348552,2.03931409587138,3.0948412111812207
14,,,,283,"[0.1383056640625, 0.2010498046875, 2.158203125, 6.56640625]",8.242605477120858,2.0606513692802144,3.1400452200478486
15,,,,462,"[0.15087890625, 0.213623046875, 2.158203125, 6.56640625]",8.273292167575736,2.068323041893934,3.1561837018367855
16,,,,106,"[0.0252227783203125, 0.33935546875, 2.146484375, 6.5546875]",8.315945426646614,2.0789863566616535,3.178516392852928
17,,,,291,"[0.0252227783203125, 0.326904296875, 2.158203125, 6.54296875]",8.1972765865519,2.049319146637975,3.116095976548068
18,,,,459,"[0.03778076171875, 0.33935546875, 2.146484375, 6.66796875]",8.732712807417684,2.183178201854421,3.3908918642988626
19,,,,282,"[0.03778076171875, 0.326904296875, 2.134765625, 6.66796875]",8.787935102092042,2.1969837755230106,3.4182684971666606
20,1.0,-33.139494198587634,-45.27261678531022,237,"[-0.01256561279296875, 0.1256103515625, 2.09375, 6.28125]",7.423921554765759,1.8559803886914397,2.6857338291296795
21,,,,495,"[7.748603820800781e-07, 0.251220703125, 2.21875, 6.15625]",6.48707022669814,1.621767556674535,2.099886081441786
22,,,,284,"[7.748603820800781e-07, 0.2386474609375, 2.20703125, 6.28125]",6.938985899446898,1.7347464748617245,2.392360136434225
23,,,,443,"[0.01256561279296875, 0.2386474609375, 2.21875, 6.29296875]",6.9311101024115,1.732777525602875,2.387428064500166
24,,,,540,"[0.13818359375, 0.22607421875, 2.23046875, 6.16796875]",6.611353448955521,1.6528383622388803,2.1823038423079293
25,,,,237,"[0.1256103515625, 0.351806640625, 2.23046875, 6.16796875]",6.685504003852385,1.6713760009630962,2.2307416190670453
26,,,,343,"[0.1256103515625, 0.3642578125, 2.2421875, 6.1796875]",6.669739527052121,1.6674348817630302,2.220488824427406
