,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-82.45762705505449,-82.45762705505449,2704,"[0.1256103515625, -0.01256561279296875, 1.5830078125, 4.5859375, 9.546875]",10.63720228582523,2.1274404571650463,3.2785741388634264
1,,,,1258,"[0.1256103515625, -0.13818359375, 1.45703125, 4.57421875, 9.5625]",10.01408820590186,2.002817641180372,3.0164140808813977
2,,,,1393,"[0.1256103515625, -0.1507568359375, 1.3310546875, 4.5859375, 9.578125]",9.814034678449852,1.9628069356899704,2.9287758391584777
3,,,,79,"[-5.334615707397461e-05, -0.2763671875, 1.34375, 4.4609375, 9.703125]",10.593012902592342,2.1186025805184685,3.2604949693014906
4,,,,1827,"[-5.334615707397461e-05, -0.1507568359375, 1.3564453125, 4.3359375, 9.703125]",12.07409570544203,2.414819141088406,3.828846096346928
5,,,,492,"[-0.125732421875, -0.13818359375, 1.482421875, 4.34765625, 9.703125]",12.652638463058533,2.5305276926117064,4.032110943350442
6,,,,2050,"[-0.1131591796875, -0.1507568359375, 1.482421875, 4.22265625, 9.578125]",13.024630299006986,2.6049260598013975,4.157954004662601
7,,,,1292,"[-0.1131591796875, -0.2763671875, 1.4697265625, 4.234375, 9.578125]",12.28949278458025,2.4578985569160503,3.9056395459570643
8,,,,522,"[-0.23876953125, -0.1507568359375, 1.34375, 4.359375, 9.578125]",12.148367189809491,2.429673437961898,3.855479058527545
9,,,,2034,"[-0.2261962890625, -0.163330078125, 1.3310546875, 4.34765625, 9.703125]",12.519394834782759,2.5038789669565515,3.9861333202509264
10,,,,123,"[-0.351806640625, -0.2890625, 1.45703125, 4.47265625, 9.71875]",11.648647825764439,2.3297295651528875,3.6730551107827205
11,,,,493,"[-0.4775390625, -0.276611328125, 1.5830078125, 4.484375, 9.734375]",12.047080135956444,2.4094160271912886,3.8191179489829707
12,,,,2859,"[-0.351806640625, -0.276611328125, 1.708984375, 4.47265625, 9.859375]",12.395025728619695,2.479005145723939,3.942774282430908
13,,,,1084,"[-0.3642578125, -0.26416015625, 1.7216796875, 4.4609375, 9.984375]",13.05799746911178,2.6115994938223563,4.169065757579048
14,,,,1177,"[-0.376708984375, -0.1385498046875, 1.7216796875, 4.3359375, 9.984375]",14.638817786202427,2.9277635572404854,4.665360006882588
15,,,,2229,"[-0.3642578125, -0.1385498046875, 1.84765625, 4.2109375, 10.109375]",16.069185572479768,3.213837114495954,5.070238618273853
16,,,,1630,"[-0.3642578125, -0.1259765625, 1.7216796875, 4.19921875, 9.984375]",15.68432200573178,3.136864401146356,4.964957456321721
17,,,,677,"[-0.376708984375, -0.251708984375, 1.7216796875, 4.07421875, 9.984375]",15.947743682941965,3.189548736588393,5.037292425954919
18,,,,354,"[-0.50244140625, -0.251708984375, 1.84765625, 3.94921875, 10.109375]",17.56919234899327,3.513838469798654,5.457817932186082
19,,,,2881,"[-0.376708984375, -0.2391357421875, 1.7216796875, 3.9375, 10.09375]",17.366910100392133,3.4733820200784264,5.407525518359383
20,1.0,-65.70917368030153,-74.08340036767801,993,"[-0.01256561279296875, 0.0, 1.6962890625, 4.72265625, 9.4375]",9.873370765948064,1.9746741531896128,2.954954416602853
21,,,,1231,"[-0.0251312255859375, 0.1256103515625, 1.822265625, 4.7109375, 9.421875]",10.387229040046119,2.077445808009224,3.1752970365252695
22,,,,3012,"[0.10052490234375, 0.251220703125, 1.6962890625, 4.7109375, 9.421875]",10.678046802581399,2.1356093605162796,3.2952181573131933
23,,,,2828,"[0.2261962890625, 0.251220703125, 1.708984375, 4.5859375, 9.4375]",11.320120066531695,2.264024013306339,3.5488102887273936
24,,,,2881,"[0.351806640625, 0.263671875, 1.5830078125, 4.57421875, 9.421875]",10.999680439692552,2.1999360879385104,3.4241006397728886
25,,,,1670,"[0.351806640625, 0.276123046875, 1.5703125, 4.69921875, 9.296875]",9.938652494144302,1.9877304988288604,2.9835750138644164
26,,,,182,"[0.2261962890625, 0.263671875, 1.5703125, 4.6875, 9.296875]",10.184520711983025,2.036904142396605,3.089705913920342
27,,,,2516,"[0.351806640625, 0.1380615234375, 1.4443359375, 4.69921875, 9.28125]",10.109284397447523,2.0218568794895044,3.057504100839499
28,,,,1577,"[0.351806640625, 0.1380615234375, 1.45703125, 4.57421875, 9.28125]",9.918073330605175,1.983614666121035,2.9745731064543337
29,,,,2010,"[0.3642578125, 0.12548828125, 1.3310546875, 4.57421875, 9.15625]",9.834012571154386,1.9668025142308772,2.937607547919587
30,,,,2293,"[0.376708984375, 0.1380615234375, 1.318359375, 4.5859375, 9.171875]",9.777484407051848,1.9554968814103695,2.91257127684034
31,,,,2929,"[0.50244140625, 0.150634765625, 1.318359375, 4.4609375, 9.296875]",10.007984221128307,2.0015968442256615,3.0137660762889023
32,,,,1137,"[0.489990234375, 0.2763671875, 1.1923828125, 4.4609375, 9.296875]",10.53805217950139,2.107610435900278,3.237903403290499
33,,,,351,"[0.3642578125, 0.2763671875, 1.318359375, 4.3359375, 9.28125]",11.623845616672513,2.3247691233345025,3.6637982886443536
34,,,,1875,"[0.376708984375, 0.1507568359375, 1.1923828125, 4.2109375, 9.15625]",11.265322313780896,2.2530644627561793,3.527736175643976
35,,,,2363,"[0.38916015625, 0.163330078125, 1.318359375, 4.2109375, 9.171875]",11.64290570277302,2.3285811405546037,3.67091375737145
36,,,,1815,"[0.38916015625, 0.2890625, 1.318359375, 4.22265625, 9.046875]",11.692722850051643,2.3385445700103284,3.6894565148424334
37,,,,993,"[0.376708984375, 0.2890625, 1.4443359375, 4.234375, 9.0625]",11.928668590790593,2.385733718158119,3.77621968593284
38,,,,2146,"[0.38916015625, 0.2890625, 1.318359375, 4.359375, 9.046875]",10.817512406546424,2.1635024813092847,3.351573976250192
39,,,,211,"[0.263427734375, 0.276611328125, 1.3310546875, 4.359375, 9.03125]",10.999142653277143,2.1998285306554286,3.4238883032567813
40,2.0,-63.69102636880541,-70.61927570138714,1025,"[-0.01256561279296875, 0.01256561279296875, 1.5576171875, 4.5859375, 9.296875]",10.227589248185332,2.0455178496370663,3.1080327359975994
41,,,,2995,"[0.11309814453125, 0.0251312255859375, 1.68359375, 4.7109375, 9.171875]",10.479061067985842,2.095812213597169,3.2135236693187292
42,,,,1329,"[0.11309814453125, -0.10052490234375, 1.6962890625, 4.5859375, 9.296875]",10.530693262167478,2.1061386524334957,3.234869584945963
43,,,,1003,"[0.10052490234375, -0.08795166015625, 1.5703125, 4.4609375, 9.3125]",10.386134299991863,2.0772268599983725,3.174839296911958
44,,,,387,"[-0.0251312255859375, -0.07537841796875, 1.4443359375, 4.4609375, 9.3125]",10.614569277338209,2.1229138554676417,3.269323715310005
45,,,,3025,"[0.10052490234375, 0.05029296875, 1.431640625, 4.3359375, 9.1875]",11.255969985639938,2.2511939971279875,3.524129220337824
46,,,,284,"[-0.0251312255859375, 0.05029296875, 1.4189453125, 4.32421875, 9.3125]",11.985964770207048,2.3971929540414094,3.7970299252460054
47,,,,1398,"[-0.0251312255859375, 0.0377197265625, 1.29296875, 4.44921875, 9.328125]",10.965637090858039,2.1931274181716076,3.410638644186465
48,,,,690,"[-0.037689208984375, -0.08795166015625, 1.29296875, 4.4609375, 9.203125]",10.107310589926097,2.0214621179852195,3.056656071071724
49,,,,2768,"[0.08795166015625, -0.08795166015625, 1.1669921875, 4.47265625, 9.21875]",9.592847079434378,1.9185694158868758,2.829775170559645
50,,,,1715,"[0.08795166015625, -0.07537841796875, 1.1796875, 4.484375, 9.09375]",9.841304417206782,1.9682608834413566,2.9408266153941343
51,,,,1200,"[0.07537841796875, 0.05029296875, 1.1923828125, 4.359375, 8.96875]",10.19753086966719,2.039506173933438,3.0952502433865665
52,,,,2053,"[0.08795166015625, 0.0377197265625, 1.1923828125, 4.234375, 8.984375]",10.904927242635612,2.1809854485271227,3.3865276798793627
53,,,,785,"[0.07537841796875, 0.025146484375, 1.1796875, 4.234375, 8.859375]",10.511428106746452,2.1022856213492904,3.2269171994583568
54,,,,639,"[0.06280517578125, -0.10052490234375, 1.0537109375, 4.234375, 8.984375]",10.186114351393119,2.0372228702786237,3.090385430097629
55,,,,2115,"[0.07537841796875, -0.11309814453125, 1.1796875, 4.24609375, 8.859375]",9.934506820783636,1.986901364156727,2.9817630794237004
56,,,,2773,"[0.2010498046875, -0.11309814453125, 1.0537109375, 4.37109375, 8.875]",10.155474917499415,2.031094983499883,3.0773023352066864
57,,,,2177,"[0.213623046875, -0.11309814453125, 1.0537109375, 4.24609375, 8.875]",9.721740797414899,1.94434815948298,2.887740333289524
58,,,,2494,"[0.2261962890625, 0.01256561279296875, 1.1796875, 4.2578125, 9.0]",10.378944967886008,2.0757889935772016,3.1718320486885156
59,,,,2775,"[0.351806640625, 0.01256561279296875, 1.1669921875, 4.1328125, 8.875]",10.47939815642989,2.0958796312859778,3.213663370095019
60,3.0,-63.9273734200108,-68.94630013104306,718,"[-0.01256561279296875, -0.1256103515625, 1.5830078125, 4.72265625, 9.4375]",10.549279246685423,2.1098558493370847,3.2425278421899884
61,,,,19,"[-0.13818359375, -0.251220703125, 1.45703125, 4.734375, 9.5625]",10.60881172261401,2.1217623445228018,3.2669673760374622
62,,,,1249,"[-0.1507568359375, -0.1256103515625, 1.5830078125, 4.859375, 9.6875]",10.197081875666466,2.039416375133293,3.095059020714786
63,,,,3011,"[-0.0251007080078125, 5.334615707397461e-05, 1.45703125, 4.859375, 9.671875]",9.716967055276847,1.9433934110553692,2.885607259500902
