,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,331.1686608019308,331.1686608019308,2766,"[0.1256103515625, 0.0, 1.4443359375, 4.72265625, 9.40625]",10.132186161624688,2.0264372323249376,3.0673315627554407
1,,,,1221,"[0.113037109375, 0.1256103515625, 1.45703125, 4.84765625, 9.390625]",9.905087264872243,1.9810174529744489,2.9688830173597602
2,,,,2149,"[0.1256103515625, 0.1256103515625, 1.3310546875, 4.97265625, 9.515625]",9.860277008001448,1.9720554016002896,2.949191115541376
3,,,,2101,"[0.13818359375, 0.113037109375, 1.45703125, 4.84765625, 9.5]",9.82126098954798,1.964252197909596,2.93197247773137
4,,,,333,"[0.01251983642578125, 0.113037109375, 1.4697265625, 4.8359375, 9.515625]",9.720197682353646,1.9440395364707295,2.887050930472878
5,,,,406,"[-0.1131591796875, 0.1256103515625, 1.45703125, 4.82421875, 9.5]",9.98431439158705,1.99686287831741,3.003482435213294
6,,,,394,"[-0.23876953125, 0.13818359375, 1.3310546875, 4.8359375, 9.625]",10.282059726530354,2.056411945306071,3.1311011793641033
7,,,,201,"[-0.364501953125, 0.1256103515625, 1.34375, 4.7109375, 9.609375]",11.124063664777973,2.2248127329555945,3.472934613993109
8,,,,536,"[-0.490234375, 0.251220703125, 1.3310546875, 4.7109375, 9.59375]",11.451013897356217,2.2902027794712434,3.598739374082341
9,,,,1828,"[-0.490234375, 0.376953125, 1.34375, 4.5859375, 9.609375]",12.539336830692855,2.507867366138571,3.993045641852693
10,,,,1099,"[-0.5029296875, 0.389404296875, 1.3564453125, 4.7109375, 9.734375]",12.19371678443638,2.438743356887276,3.8716609939032303
11,,,,1587,"[-0.5029296875, 0.389404296875, 1.369140625, 4.7109375, 9.734375]",12.223589410495043,2.4447178820990088,3.8822874921962076
12,,,,491,"[-0.62841796875, 0.40185546875, 1.4951171875, 4.72265625, 9.71875]",12.364697786039912,2.4729395572079826,3.932135016051962
13,,,,925,"[-0.64111328125, 0.40185546875, 1.4951171875, 4.59765625, 9.59375]",12.699557520123616,2.5399115040247233,4.048185851304597
14,,,,1203,"[-0.65380859375, 0.52734375, 1.5078125, 4.47265625, 9.609375]",13.774764213266105,2.754952842653221,4.401141693036772
15,,,,1994,"[-0.64111328125, 0.401611328125, 1.6337890625, 4.484375, 9.734375]",14.33789153381898,2.8675783067637957,4.575152862877138
16,,,,1310,"[-0.64111328125, 0.27587890625, 1.6337890625, 4.484375, 9.609375]",13.529422204623769,2.7058844409247538,4.323092454248161
17,,,,1505,"[-0.64111328125, 0.27587890625, 1.5078125, 4.47265625, 9.484375]",12.94694351436557,2.589388702873114,4.131972489060169
18,,,,2556,"[-0.515625, 0.1502685546875, 1.5078125, 4.4609375, 9.46875]",12.675268719846581,2.5350537439693164,4.039871709521527
19,,,,1106,"[-0.5283203125, 0.162841796875, 1.6337890625, 4.44921875, 9.453125]",12.783356251579017,2.5566712503158033,4.076748878414734
20,1.0,471.38103677744783,401.2748487896893,578,"[-0.1256103515625, 0.1256103515625, 1.5830078125, 4.5859375, 9.4375]",11.311762369141462,2.2623524738282925,3.5456026880929246
21,,,,1086,"[-0.13818359375, 0.13818359375, 1.595703125, 4.5859375, 9.421875]",11.32487452820999,2.2649749056419983,3.55063394692524
22,,,,1478,"[-0.13818359375, 0.1256103515625, 1.7216796875, 4.4609375, 9.4375]",12.223839552579342,2.4447679105158686,3.882376364794689
23,,,,4,"[-0.263916015625, -5.334615707397461e-05, 1.595703125, 4.3359375, 9.5625]",13.255737063541932,2.6511474127083865,4.234338766376213
24,,,,704,"[-0.2763671875, -0.125732421875, 1.6083984375, 4.2109375, 9.6875]",14.150399063659128,2.8300798127318254,4.517986834890422
25,,,,964,"[-0.288818359375, -0.125732421875, 1.62109375, 4.2109375, 9.8125]",14.680201562977397,2.9360403125954795,4.677620142609184
26,,,,3049,"[-0.1632080078125, -6.872415542602539e-05, 1.6083984375, 4.3359375, 9.9375]",14.509017045177378,2.901803409035476,4.626679865775543
27,,,,1847,"[-0.1632080078125, 0.1256103515625, 1.62109375, 4.4609375, 9.9375]",14.153027376446058,2.830605475289212,4.518793423976571
28,,,,155,"[-0.288818359375, 0.113037109375, 1.6083984375, 4.44921875, 9.8125]",13.927549709305124,2.785509941861025,4.449047128538633
29,,,,1725,"[-0.288818359375, 0.1256103515625, 1.734375, 4.32421875, 9.6875]",14.496735738124357,2.8993471476248716,4.623002178633776
30,,,,2388,"[-0.2763671875, 0.251220703125, 1.6083984375, 4.32421875, 9.703125]",14.886041216012474,2.9772082432024947,4.738092127826851
31,,,,915,"[-0.288818359375, 0.251220703125, 1.595703125, 4.3359375, 9.578125]",14.257950544822735,2.851590108964547,4.550870996482016
32,,,,2656,"[-0.1632080078125, 0.2386474609375, 1.5830078125, 4.32421875, 9.5625]",14.080375181660939,2.8160750363321876,4.496442227111413
33,,,,2693,"[-0.03753662109375, 0.22607421875, 1.5830078125, 4.3359375, 9.578125]",13.818317858961798,2.7636635717923594,4.414851740831703
34,,,,1892,"[-0.02496337890625, 0.10040283203125, 1.45703125, 4.34765625, 9.578125]",12.999432882292586,2.599886576458517,4.149544017044072
35,,,,2592,"[0.1007080078125, -0.0252532958984375, 1.4697265625, 4.359375, 9.578125]",12.08009698991869,2.416019397983738,3.831004168710635
36,,,,1079,"[0.088134765625, -0.01268768310546875, 1.482421875, 4.234375, 9.703125]",13.48658306677522,2.697316613355044,4.309319273066327
37,,,,1758,"[0.088134765625, 0.11297607421875, 1.3564453125, 4.22265625, 9.71875]",13.88261117999868,2.776522235999736,4.435011559045031
38,,,,2051,"[0.1007080078125, 0.10040283203125, 1.3564453125, 4.09765625, 9.703125]",14.668176897074463,2.9336353794148926,4.674061345418597
39,,,,1415,"[0.1007080078125, 0.08782958984375, 1.34375, 4.109375, 9.578125]",14.112586715200381,2.8225173430400763,4.506366191403054
40,2.0,269.49226091514265,357.3473194981737,2024,"[0.01256561279296875, -0.01256561279296875, 1.4443359375, 4.8359375, 9.546875]",10.038673831538992,2.0077347663077982,3.0270633938074387
41,,,,94,"[-0.11309814453125, -0.13818359375, 1.45703125, 4.84765625, 9.671875]",10.22202449814235,2.04440489962847,3.1056691311623497
42,,,,78,"[-0.23876953125, -0.263916015625, 1.4697265625, 4.72265625, 9.6875]",10.077431382813257,2.0154862765626516,3.0437984538988667
43,,,,2000,"[-0.2261962890625, -0.2763671875, 1.34375, 4.59765625, 9.5625]",10.000703076056157,2.0001406152112313,3.010605287957928
44,,,,2266,"[-0.213623046875, -0.263916015625, 1.2177734375, 4.609375, 9.546875]",9.722952172616074,1.9445904345232148,2.8882814511841355
45,,,,1933,"[-0.2010498046875, -0.3896484375, 1.2177734375, 4.59765625, 9.5625]",10.329914004836718,2.0659828009673435,3.1512670175472097
