,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-69.55750942494369,-69.55750942494369,1260,"[0.0, -0.1256103515625, 1.4443359375, 4.7109375, 9.296875]",10.684187516205675,2.136837503241135,3.297714973026035
1,,,,1369,"[0.0, -0.251220703125, 1.5703125, 4.72265625, 9.421875]",11.412421222772366,2.2824842445544733,3.584077883852333
2,,,,2906,"[0.1256103515625, -0.2386474609375, 1.5576171875, 4.7109375, 9.40625]",11.730717331564467,2.3461434663128933,3.7035456563243856
3,,,,2737,"[0.251220703125, -0.251220703125, 1.68359375, 4.7109375, 9.40625]",12.389336202344278,2.4778672404688553,3.94078033970497
4,,,,577,"[0.1256103515625, -0.1256103515625, 1.6962890625, 4.5859375, 9.40625]",10.514682639220903,2.1029365278441805,3.2282616473433636
5,,,,2837,"[0.251220703125, -0.1256103515625, 1.708984375, 4.5859375, 9.40625]",10.949796137722451,2.1899592275444903,3.4043602926145327
6,,,,596,"[0.1256103515625, 5.334615707397461e-05, 1.7216796875, 4.7109375, 9.390625]",10.337000094649092,2.0674000189298187,3.1542451591406446
7,,,,2986,"[0.251220703125, 0.0126190185546875, 1.84765625, 4.7109375, 9.375]",10.73706132923146,2.147412265846292,3.319154294359125
8,,,,637,"[0.2386474609375, -0.113037109375, 1.7216796875, 4.7109375, 9.375]",11.48423435466685,2.29684687093337,3.6113204207118477
9,,,,1093,"[0.22607421875, -0.1004638671875, 1.734375, 4.72265625, 9.390625]",11.383232626569239,2.276646525313848,3.572956068020983
10,,,,2771,"[0.351806640625, -0.1004638671875, 1.6083984375, 4.84765625, 9.375]",12.265153936890705,2.4530307873781414,3.8970299896241176
11,,,,890,"[0.33935546875, -0.1004638671875, 1.482421875, 4.859375, 9.25]",12.288218355505855,2.4576436711011707,3.9051891561612617
12,,,,1770,"[0.33935546875, 0.0251922607421875, 1.3564453125, 4.984375, 9.125]",11.724584687502993,2.3449169375005985,3.7012746358669206
13,,,,396,"[0.2137451171875, 0.037750244140625, 1.23046875, 5.109375, 9.109375]",11.195911000307003,2.2391822000614003,3.5008943313324097
14,,,,3053,"[0.33935546875, 0.1634521484375, 1.23046875, 4.984375, 9.125]",10.563742408369048,2.1127484816738096,3.2484779827196015
15,,,,2669,"[0.465087890625, 0.15087890625, 1.2177734375, 4.99609375, 9.25]",10.70178152562628,2.1403563051252563,3.3048607637216336
16,,,,1072,"[0.45263671875, 0.1634521484375, 1.2177734375, 5.12109375, 9.25]",10.851305808514798,2.1702611617029595,3.365119984853294
17,,,,1591,"[0.45263671875, 0.1634521484375, 1.23046875, 5.1328125, 9.234375]",10.938663335956178,2.187732667191236,3.399942517304267
18,,,,1867,"[0.45263671875, 0.2890625, 1.3564453125, 5.14453125, 9.234375]",10.620809602557872,2.1241619205115745,3.2718761904991913
19,,,,292,"[0.326904296875, 0.2890625, 1.34375, 5.15625, 9.234375]",10.318408518054994,2.0636817036109987,3.1464271377627724
20,1.0,-83.08193232273936,-76.31972087384153,1152,"[-0.01256561279296875, 0.1256103515625, 1.5576171875, 4.5859375, 9.421875]",11.063677441844186,2.2127354883688373,3.4492950122608006
21,,,,1852,"[-0.01256561279296875, 0.251220703125, 1.68359375, 4.4609375, 9.421875]",12.457711696465193,2.4915423392930385,3.964682716255185
22,,,,2653,"[0.11309814453125, 0.2386474609375, 1.6708984375, 4.3359375, 9.4375]",13.16492569512818,2.632985139025636,4.204484078879231
23,,,,792,"[0.10052490234375, 0.22607421875, 1.658203125, 4.34765625, 9.4375]",13.038387263714098,2.6076774527428195,4.162538718923346
