,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-247.42034780050528,-247.42034780050528,232148,"[0.0, 0.1256103515625, 1.0234375, 2.681640625, 5.38671875, 8.8515625, 13.5859375, 18.859375]",15.302502764393973,1.9128128455492466,2.816724796344973
1,,,,209706,"[0.0, 0.13818359375, 1.0234375, 2.556640625, 5.38671875, 8.8671875, 13.5703125, 18.84375]",16.295827274893288,2.036978409361661,3.0898642578721143
2,,,,366081,"[0.1256103515625, 0.1507568359375, 1.0234375, 2.431640625, 5.3984375, 8.8828125, 13.5546875, 18.828125]",17.864568826448167,2.233071103306021,3.48902551679509
3,,,,316386,"[0.251220703125, 0.0251007080078125, 1.0107421875, 2.419921875, 5.38671875, 8.7578125, 13.5546875, 18.8125]",18.738902924892493,2.3423628656115616,3.696541743937423
4,,,,333945,"[0.376953125, 0.01253509521484375, 0.998046875, 2.544921875, 5.375, 8.7578125, 13.6796875, 18.6875]",19.093094726136677,2.3866368407670846,3.777863402259538
5,,,,35628,"[0.251220703125, 0.01253509521484375, 0.9853515625, 2.544921875, 5.25, 8.6328125, 13.5546875, 18.703125]",17.261611982247445,2.1577014977809306,3.339913630376289
6,,,,148301,"[0.2386474609375, 0.13818359375, 0.9853515625, 2.544921875, 5.23828125, 8.6328125, 13.4296875, 18.6875]",15.948934531774137,1.9936168164717671,2.996416883368661
7,,,,242217,"[0.251220703125, 0.01251983642578125, 0.9853515625, 2.544921875, 5.23828125, 8.6484375, 13.4453125, 18.6875]",17.13824835755761,2.1422810446947014,3.308764450922355
8,,,,343945,"[0.376953125, 0.01251983642578125, 0.85986328125, 2.419921875, 5.2265625, 8.6484375, 13.5703125, 18.5625]",18.660165821751498,2.3325207277189373,3.6782551175142473
9,,,,222683,"[0.376953125, 0.13818359375, 0.84716796875, 2.408203125, 5.21484375, 8.6484375, 13.5546875, 18.578125]",17.566158767758893,2.1957698459698616,3.415868167144995
10,,,,119566,"[0.364501953125, 0.13818359375, 0.85986328125, 2.396484375, 5.203125, 8.6484375, 13.5703125, 18.5625]",17.776517491051315,2.2220646863814144,3.467566975074558
11,,,,177480,"[0.364501953125, 0.1256103515625, 0.84716796875, 2.408203125, 5.328125, 8.7734375, 13.5546875, 18.4375]",19.014776798377962,2.3768470997972453,3.760012448959822
12,,,,379594,"[0.490234375, 0.251220703125, 0.83447265625, 2.408203125, 5.31640625, 8.7890625, 13.5703125, 18.5625]",18.211384186577767,2.276423023322221,3.5725296933271684
13,,,,161636,"[0.490234375, 0.1256103515625, 0.82177734375, 2.419921875, 5.328125, 8.6640625, 13.5703125, 18.546875]",18.272472806399982,2.2840591007999977,3.5870733723547383
14,,,,32229,"[0.364501953125, 0.1256103515625, 0.6962890625, 2.408203125, 5.328125, 8.7890625, 13.4453125, 18.671875]",17.02110695219454,2.1276383690243175,3.278978136213218
15,,,,368428,"[0.490234375, 0.13818359375, 0.6962890625, 2.533203125, 5.328125, 8.7890625, 13.3203125, 18.6875]",16.049090852651155,2.0061363565813943,3.0236044857386988
16,,,,174859,"[0.490234375, 0.1256103515625, 0.57080078125, 2.658203125, 5.33984375, 8.9140625, 13.3046875, 18.8125]",16.845325717180827,2.1056657146476034,3.2338942582039842
17,,,,38999,"[0.364501953125, 0.1256103515625, 0.57080078125, 2.658203125, 5.328125, 9.0390625, 13.4296875, 18.9375]",16.647507761877208,2.080938470234651,3.1825923906188054
18,,,,52208,"[0.2388916015625, 0.13818359375, 0.55810546875, 2.669921875, 5.328125, 9.0546875, 13.4140625, 18.953125]",16.08175554051993,2.010219442564991,3.0324346910859523
19,,,,194479,"[0.2388916015625, 0.13818359375, 0.55810546875, 2.658203125, 5.203125, 9.1796875, 13.2890625, 19.078125]",18.063660002179134,2.2579575002723917,3.5371576328829097
20,1.0,-280.3796424105571,-263.89999510553116,62933,"[-0.1256103515625, 0.1256103515625, 0.77197265625, 2.568359375, 5.3984375, 8.9765625, 13.4453125, 18.859375]",15.926211983033427,1.9907764978791784,2.9902250503680667
21,,,,237739,"[-0.113037109375, -5.334615707397461e-05, 0.75927734375, 2.443359375, 5.38671875, 9.1015625, 13.4453125, 18.984375]",16.90884498233208,2.11360562279151,3.2502395561870974
22,,,,370160,"[0.01262664794921875, 0.01251220703125, 0.77197265625, 2.443359375, 5.375, 9.0859375, 13.4453125, 18.859375]",17.097149357720944,2.137143669715118,3.298337186391238
23,,,,199087,"[0.01262664794921875, 0.01251220703125, 0.78466796875, 2.455078125, 5.375, 9.1015625, 13.4453125, 18.859375]",17.15648988082186,2.1445612351027323,3.3133845145526575
24,,,,338320,"[0.1383056640625, -5.418062210083008e-05, 0.79736328125, 2.443359375, 5.36328125, 9.1015625, 13.5703125, 18.734375]",19.07587286838744,2.38448410854843,3.773944324135327
25,,,,360413,"[0.263916015625, 0.01251220703125, 0.671875, 2.431640625, 5.375, 9.0859375, 13.5703125, 18.75]",18.869526999345112,2.358690874918139,3.7267102689058316
26,,,,305166,"[0.2763671875, 0.13818359375, 0.671875, 2.443359375, 5.36328125, 9.0703125, 13.5859375, 18.734375]",17.89520716869647,2.2369008960870587,3.496467434904866
27,,,,95071,"[0.263916015625, 0.1256103515625, 0.54638671875, 2.443359375, 5.23828125, 9.0703125, 13.7109375, 18.71875]",17.64213872745091,2.2052673409313637,3.4346124580086568
28,,,,109042,"[0.25146484375, 0.113037109375, 0.671875, 2.568359375, 5.23828125, 9.0546875, 13.7265625, 18.71875]",17.147602713357102,2.143450339169638,3.3111342595048394
29,,,,205986,"[0.25146484375, 0.1256103515625, 0.54638671875, 2.693359375, 5.23828125, 9.1796875, 13.7265625, 18.703125]",16.79610119494246,2.0995126493678073,3.221184955655704
30,,,,268329,"[0.263916015625, 0.1256103515625, 0.420654296875, 2.818359375, 5.2265625, 9.1953125, 13.6015625, 18.828125]",19.203996339375244,2.4004995424219056,3.8030162752090613
31,,,,312538,"[0.3896484375, -5.334615707397461e-05, 0.294921875, 2.693359375, 5.1015625, 9.1796875, 13.6015625, 18.84375]",21.142727435234235,2.6428409294042794,4.220710240621099
32,,,,173211,"[0.3896484375, -0.0126190185546875, 0.1693115234375, 2.693359375, 4.9765625, 9.1953125, 13.6015625, 18.828125]",23.27060029865845,2.9088250373323064,4.637175996910984
33,,,,91786,"[0.377197265625, -0.1383056640625, 0.294921875, 2.681640625, 5.1015625, 9.1796875, 13.6015625, 18.8125]",20.7554627668125,2.5944328458515624,4.140424339233922
34,,,,91786,"[0.36474609375, -0.263916015625, 0.420654296875, 2.669921875, 5.2265625, 9.1640625, 13.6015625, 18.796875]",18.413028524763504,2.301628565595438,3.6203523896025267
35,,,,13665,"[0.2391357421875, -0.3896484375, 0.54638671875, 2.658203125, 5.3515625, 9.1484375, 13.6171875, 18.671875]",19.7397606107263,2.4674700763407875,3.922518945700938
36,,,,260695,"[0.251708984375, -0.402099609375, 0.55908203125, 2.658203125, 5.2265625, 9.1484375, 13.7421875, 18.546875]",20.51482508664701,2.5643531358308764,4.089778314483091
37,,,,74867,"[0.1260986328125, -0.2763671875, 0.57177734375, 2.783203125, 5.23828125, 9.2734375, 13.7578125, 18.546875]",18.570632716125104,2.321329089515638,3.6573671375594765
38,,,,59838,"[0.00043487548828125, -0.263916015625, 0.697265625, 2.658203125, 5.25, 9.2890625, 13.7578125, 18.5625]",19.67823727826171,2.459779659782714,3.9089620595447
39,,,,144395,"[-0.0121307373046875, -0.1383056640625, 0.6845703125, 2.646484375, 5.125, 9.1640625, 13.8828125, 18.4375]",18.395266557725435,2.2994083197156794,3.616160983913215
40,2.0,-329.29958557283027,-285.6998585946308,141117,"[-0.01256561279296875, 0.1256103515625, 0.77197265625, 2.568359375, 5.3984375, 9.1015625, 13.4765625, 18.84375]",16.105696760449682,2.0132120950562102,3.0388953090471205
41,,,,218062,"[-0.01256561279296875, 0.13818359375, 0.8974609375, 2.580078125, 5.5234375, 9.1015625, 13.4765625, 18.84375]",15.884755207605519,1.9855944009506898,2.9789053951744284
42,,,,342076,"[0.11309814453125, 0.1256103515625, 1.0234375, 2.580078125, 5.51171875, 9.1171875, 13.3515625, 18.828125]",17.06812183305327,2.1335152291316586,3.29095747220753
43,,,,62933,"[-0.01256561279296875, 0.251220703125, 0.89794921875, 2.455078125, 5.5234375, 9.1171875, 13.3359375, 18.84375]",17.305248031791226,2.1631560039739033,3.3508784131698417
44,,,,4961,"[-0.13818359375, 0.1256103515625, 0.88525390625, 2.455078125, 5.6484375, 9.1328125, 13.3359375, 18.828125]",16.567434923722836,2.0709293654653544,3.161652863817342
45,,,,91786,"[-0.1507568359375, -5.334615707397461e-05, 1.0107421875, 2.443359375, 5.7734375, 9.1171875, 13.3359375, 18.8125]",17.154627345619875,2.1443284182024844,3.3129130121203536
46,,,,258342,"[-0.13818359375, -0.0126190185546875, 1.0107421875, 2.455078125, 5.76171875, 9.1328125, 13.3515625, 18.8125]",17.42240369835031,2.1778004622937885,3.380180856609965
47,,,,82370,"[-0.1507568359375, -0.1383056640625, 0.998046875, 2.443359375, 5.7734375, 9.2578125, 13.4765625, 18.6875]",19.907054547390807,2.488381818423851,3.9591701947217484
48,,,,91786,"[-0.163330078125, -0.263916015625, 1.1240234375, 2.431640625, 5.8984375, 9.2421875, 13.4765625, 18.671875]",21.540454863929604,2.6925568579912005,4.301648829453617
49,,,,91786,"[-0.1759033203125, -0.3896484375, 1.25, 2.419921875, 6.0234375, 9.2265625, 13.4765625, 18.65625]",23.094988251544585,2.886873531443073,4.604277586644191
50,,,,317325,"[-0.05023193359375, -0.51513671875, 1.2373046875, 2.419921875, 6.03515625, 9.2421875, 13.3515625, 18.53125]",24.23992470864977,3.0299905885812213,4.814412795473247
51,,,,132911,"[-0.06280517578125, -0.50244140625, 1.2373046875, 2.419921875, 6.046875, 9.2265625, 13.3515625, 18.515625]",23.96271692386417,2.9953396154830214,4.764460703875833
52,,,,134821,"[-0.07537841796875, -0.489990234375, 1.25, 2.294921875, 6.05859375, 9.2265625, 13.4765625, 18.5]",25.77942250502202,3.2224278131277524,5.081831973329888
53,,,,277066,"[-0.06280517578125, -0.489990234375, 1.2626953125, 2.306640625, 6.046875, 9.2265625, 13.4921875, 18.484375]",26.04879586877807,3.2560994835972585,5.1269766541780815
54,,,,91786,"[-0.07537841796875, -0.61572265625, 1.388671875, 2.294921875, 6.171875, 9.2109375, 13.4921875, 18.46875]",27.409833580163905,3.426229197520488,5.348164117202689
55,,,,91786,"[-0.08795166015625, -0.7412109375, 1.5146484375, 2.283203125, 6.296875, 9.1953125, 13.4921875, 18.453125]",28.58451054687325,3.5730638183591563,5.530407731892039
56,,,,91786,"[-0.10052490234375, -0.86669921875, 1.640625, 2.271484375, 6.421875, 9.1796875, 13.4921875, 18.4375]",29.539638966652777,3.692454870831597,5.673151960710334
57,,,,260695,"[-0.08795166015625, -0.87939453125, 1.6533203125, 2.271484375, 6.296875, 9.1796875, 13.6171875, 18.3125]",31.641966979566014,3.9552458724457518,5.971734859948646
58,,,,173211,"[-0.08795166015625, -0.89208984375, 1.52734375, 2.271484375, 6.171875, 9.1953125, 13.6171875, 18.296875]",31.567688583076016,3.945961072884502,5.961527965991817
59,,,,305414,"[-0.07537841796875, -0.7666015625, 1.52734375, 2.283203125, 6.18359375, 9.1796875, 13.6171875, 18.421875]",30.505000169037544,3.813125021129693,5.8128104474302145
60,3.0,-270.7066825441722,-281.9515645820162,206256,"[0.0, 0.01256561279296875, 0.884765625, 2.568359375, 5.26171875, 8.8515625, 13.4453125, 18.828125]",15.765531014844472,1.970691376855559,2.9461861625137726
61,,,,184876,"[0.0, -7.748603820800781e-07, 1.0107421875, 2.443359375, 5.38671875, 8.7265625, 13.3203125, 18.8125]",16.614711736611127,2.076838967076391,3.1740282372750235
62,,,,253232,"[0.01256561279296875, -0.01256561279296875, 0.998046875, 2.318359375, 5.26171875, 8.8515625, 13.3046875, 18.8125]",18.458221896836708,2.3072777371045885,3.630998755925679
63,,,,101786,"[-7.748603820800781e-07, -0.0251312255859375, 0.998046875, 2.318359375, 5.38671875, 8.8359375, 13.3046875, 18.796875]",18.406189194965734,2.3007736493707167,3.6187389478135885
64,,,,111606,"[-0.01256561279296875, -0.0251312255859375, 0.87255859375, 2.330078125, 5.38671875, 8.9609375, 13.2890625, 18.78125]",17.934201311757203,2.2417751639696504,3.5059205342231565
65,,,,280090,"[7.748603820800781e-07, -0.0251312255859375, 0.998046875, 2.341796875, 5.26171875, 8.9765625, 13.3046875, 18.65625]",19.68414256455994,2.4605178205699927,3.9102651480687483
66,,,,260695,"[0.01256561279296875, -0.037689208984375, 1.0107421875, 2.341796875, 5.13671875, 8.9765625, 13.4296875, 18.53125]",20.954475363452516,2.6193094204315646,4.181868048966097
67,,,,17898,"[-0.11309814453125, -0.050262451171875, 0.88525390625, 2.353515625, 5.1484375, 8.8515625, 13.5546875, 18.546875]",19.002913105338788,2.3753641381673485,3.7573019546598263
68,,,,17801,"[-0.23876953125, -0.06280517578125, 0.759765625, 2.365234375, 5.1484375, 8.8515625, 13.4296875, 18.53125]",17.153760822746285,2.1442201028432857,3.3126936336402713
69,,,,152358,"[-0.251220703125, 0.0628662109375, 0.7724609375, 2.376953125, 5.16015625, 8.9765625, 13.4140625, 18.546875]",17.050359862283024,2.131294982785378,3.286435625861022
70,,,,199087,"[-0.251220703125, 0.0628662109375, 0.78515625, 2.388671875, 5.16015625, 8.9921875, 13.4140625, 18.546875]",17.240462114942375,2.155057764367797,3.3345891552225764
71,,,,52877,"[-0.376953125, 0.075439453125, 0.7724609375, 2.513671875, 5.171875, 8.8671875, 13.2890625, 18.546875]",17.48835080324345,2.186043850405431,3.396588693237035
72,,,,203382,"[-0.376953125, 0.0880126953125, 0.64697265625, 2.388671875, 5.171875, 8.7421875, 13.2734375, 18.546875]",16.104372679644374,2.013046584955547,3.0385382523889644
73,,,,234727,"[-0.364501953125, -0.03765869140625, 0.521484375, 2.263671875, 5.171875, 8.8671875, 13.1484375, 18.546875]",17.097059656085676,2.1371324570107095,3.2983144007053933
74,,,,5477,"[-0.490234375, -0.163330078125, 0.5087890625, 2.275390625, 5.18359375, 8.9921875, 13.0234375, 18.546875]",19.198234998426692,2.3997793748033365,3.8017131641585173
75,,,,132911,"[-0.5029296875, -0.1507568359375, 0.5087890625, 2.275390625, 5.1953125, 8.9765625, 13.0234375, 18.53125]",18.97932359018722,2.3724154487734026,3.7519074342367946
76,,,,154797,"[-0.515625, -0.0251007080078125, 0.63427734375, 2.275390625, 5.20703125, 8.9609375, 13.1484375, 18.53125]",18.64290191886358,2.3303627398579474,3.6742352774583233
77,,,,354873,"[-0.389892578125, -0.0251007080078125, 0.64697265625, 2.275390625, 5.21875, 9.0859375, 13.2734375, 18.546875]",18.279098562129654,2.284887320266207,3.5886478760357647
78,,,,173211,"[-0.389892578125, -0.03765869140625, 0.521484375, 2.275390625, 5.09375, 9.1015625, 13.2734375, 18.53125]",18.687090976369035,2.3358863720461294,3.684517129294073
79,,,,57127,"[-0.515625, -0.02508544921875, 0.5341796875, 2.263671875, 5.09375, 8.9765625, 13.1484375, 18.53125]",19.20566119425181,2.4007076492814763,3.803392762443232
80,4.0,-173.52263991555668,-260.26577964872433,141045,"[-0.01256561279296875, 0.1256103515625, 0.77197265625, 2.568359375, 5.3984375, 8.9609375, 13.5859375, 18.71875]",15.505025313143374,1.9381281641429218,2.873824926010413
