,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-81.03282294475684,-81.03282294475684,129,"[-0.01256561279296875, -0.1256103515625, 1.9677734375, 6.40625]",8.103200749834627,2.025800187458657,3.0659660698498232
1,,,,112,"[-0.13818359375, 5.334615707397461e-05, 1.9677734375, 6.40625]",8.250788551827565,2.0626971379568912,3.144354659906608
2,,,,116,"[-0.263916015625, 0.125732421875, 1.98046875, 6.39453125]",8.129692286374896,2.032423071593724,3.080141162761301
3,,,,18,"[-0.3896484375, 6.872415542602539e-05, 1.9931640625, 6.40625]",7.829863639364417,1.9574659098411042,2.916942073599609
4,,,,227,"[-0.402099609375, 0.125732421875, 1.8671875, 6.40625]",8.607321466234943,2.1518303665587357,3.3280803197054674
5,,,,365,"[-0.402099609375, 0.25146484375, 1.8798828125, 6.28125]",8.076647060446378,2.0191617651115945,3.0517111383272693
6,,,,315,"[-0.402099609375, 0.25146484375, 1.892578125, 6.15625]",7.533740284423942,1.8834350711059855,2.749506530784797
7,,,,11,"[-0.52783203125, 0.1258544921875, 1.892578125, 6.14453125]",7.273052774047632,1.818263193511908,2.596567475420448
8,,,,81,"[-0.6533203125, 0.138427734375, 1.8798828125, 6.1328125]",7.041074875467303,1.7602687188668258,2.4557897134413147
9,,,,579,"[-0.52783203125, 0.1510009765625, 1.75390625, 6.2578125]",8.464550539361891,2.116137634840473,3.2554391105115528
10,,,,259,"[-0.52783203125, 0.0253448486328125, 1.7412109375, 6.3828125]",8.999046453717504,2.249761613429376,3.521365023526744
11,,,,243,"[-0.54052734375, 0.1510009765625, 1.75390625, 6.39453125]",8.966195775887476,2.241548943971869,3.5054822607704654
12,,,,491,"[-0.52783203125, 0.276611328125, 1.7666015625, 6.3828125]",8.833916634176752,2.208479158544188,3.440933051692514
13,,,,120,"[-0.6533203125, 0.40234375, 1.892578125, 6.2578125]",7.22253384858946,1.805633462147365,2.5662959452522975
14,,,,146,"[-0.666015625, 0.276611328125, 2.017578125, 6.24609375]",7.163936832662378,1.7909842081655944,2.53091756515264
15,,,,257,"[-0.666015625, 0.1510009765625, 2.005859375, 6.24609375]",6.761675926344971,1.6904189815862427,2.2799436073136023
16,,,,545,"[-0.54052734375, 0.138427734375, 2.130859375, 6.12109375]",7.279350265266832,1.819837566316708,2.600326257869874
17,,,,455,"[-0.52783203125, 0.1510009765625, 2.119140625, 5.99609375]",7.736724967055457,1.9341812417638642,2.8649716706340866
18,,,,495,"[-0.51513671875, 0.276611328125, 2.244140625, 5.87109375]",9.193840960780143,2.298460240195036,3.61436995528901
19,,,,352,"[-0.51513671875, 0.40234375, 2.119140625, 5.87109375]",9.049257580513856,2.262314395128464,3.5455295893667955
20,1.0,-113.87419341110456,-97.4535081779307,517,"[0.1256103515625, -0.1256103515625, 2.10546875, 6.28125]",8.383632539693147,2.095908134923287,3.2137224330680896
